Title,YouTube Link,brief_desc,Built With,By,Location,cluster
adao,https://www.youtube.com/watch?v=S585DKUTm1M,"The application allows users to identify plants and diseases, as well as create relationships with other growers and retailers, utilizing artificial intelligence technology for plant breeding purposes.","Flutter, Android, Firebase",adao,Brazil,0
AI Everywhere,https://www.youtube.com/watch?v=fZS6bo7VdIM,"The application is a custom-built AI assistant that uses the Gemini API to provide various functionalities, including word definition, question answering, translation, and custom prompt processing, with features such as search on Google and text copying.",Web/Chrome,Benjamim Calori Gutierrez,Brazil,1
AILERT,https://www.youtube.com/watch?v=Y6J42AcK2ZU,"The application is an AI-powered camera surveillance web app that provides real-time alerts based on custom-defined conditions, allowing users to monitor environments and respond promptly to potential threats or incidents.","Web/Chrome, Firebase",AIlert Team,Brazil,0
"Alltopia, the game",https://www.youtube.com/watch?v=6-JmZYkO_tY,"The application uses Google Gemini-pro for textual analysis to generate a detailed description of an ideal utopian society based on user-adjusted values, and also compares this society with real-world indices such as the Human Development Index (HDI) to provide context.","Dall-e-3, openai",Luís Carlos Silva Eiras,Brazil,1
Amynk - All Medicine You Need to Know,https://www.youtube.com/watch?v=TlWp9PKqS0w,"The application helps blind individuals recognize medicine by using their voice, camera, and artificial intelligence to identify medication needs.","Flutter, Android",,Brazil,0
Aura 3,https://www.youtube.com/watch?v=1Cgh8pxbkp0,"The application helps users with epilepsy by tracking seizures, medications, and medical appointments in an easy-to-use interface, providing valuable insights to inform treatment decisions and share detailed information with healthcare providers.","Flutter, Firebase",Giovana Gamboa,Brazil,0
AvvA,https://www.youtube.com/watch?v=dNLuDn0ZncU,"The application captures a screenshot of an open app, allowing users to access it instantly via voice or typing, and responds with chat mode interactions from Gemini API.","Android, Google AI SDK for Android; Jetpack Compose.",Junior Martins - Paradoxo,Brazil,1
BedTime,https://www.youtube.com/watch?v=9srBXemxaqI,"The app uses Gemini's generative capabilities to create adaptive bedtime stories, providing a personalized experience for parents reading them to their children. It is built using Flutter and utilizes Firebase for authentication, database, and storage.","Flutter, Android, Web/Chrome, Firebase",Matheus Baptistella,Brazil,1
Bible AI,https://www.youtube.com/watch?v=ASAKmWKRm2s,"The application uses a combination of AI, specifically Gemini, to provide personalized answers about the Bible through a mobile app. It leverages Firebase Cloud Function extensions for API integration and Firestore for data storage.","Flutter, Android, Web/Chrome, Firebase",MR ROCCO,Brazil,1
Blitz Split,https://www.youtube.com/watch?v=SU38XpLHV-c,"The application enables users to share expenses, such as bills, and provides detailed information through a feature called Gemini, which automatically categorizes and maps images of expense items.","Android, Firebase, Vertex AI (Imagen generation), Material 3, Android Studio, Google Colab, Google Drive",Quare Software,Brazil,1
Brevibits.ai,https://www.youtube.com/watch?v=ZSRDnFqYUBE,"The application converts news articles into AI-generated flashcards, enhancing information with expert commentary and definitions to aid in efficient learning from current events.",,"Patrick Gomes de Oliveira, Bruno Henrique de Medeiros Mendes",Brazil,0
Build-A-Board,https://www.youtube.com/watch?v=ezJ5tU5Hf4w,"The application allows users to design, test, and sell their own real-life board games using a web platform built on Google's frameworks and tools.","Web/Chrome, Firebase, Angular, Material Design, Project IDX, Vertex AI API",Ollie Estudio,Brazil,0
Calmoria App,https://www.youtube.com/watch?v=r4BflH2ccp8,"The application is a mental health support system that provides guidance and advice from a trained psychologist/psychiatrist, offering positive and encouraging responses to help users cope with their well-being.",BackEnd = Java / Front = Angular,,Brazil,0
ChatBotAIJudicial,https://www.youtube.com/watch?v=wLI80Z865MI,"The application enables individuals with literacy, visual, or mobility limitations to access justice in Brazil by providing a simple and accessible way to inquire about legal proceedings through WhatsApp.","None, Google Cloud (Speech-to-Text, Text-to-Speech)",Roberto Malheiros and Ewerton da Costa Vaz,Brazil,0
CHEF IA,https://www.youtube.com/watch?v=VmxL0H3-cRQ,"The application generates personalized recipes based on user input, aiming to reduce food waste while providing healthy and accessible meal ideas.","Flutter, Firebase",Giovani Paleologo - G-Lix Soluções,Brazil,0
Cine Match,https://www.youtube.com/watch?v=S9zFclSvzSM,"The application recommends movies based on user input, using a combination of natural language processing (NLP) and machine learning from APIs such as Gemini and IMDB.","Flutter, Firebase, Cloud Functions",Cine Match,Brazil,0
Conto.Ai,https://www.youtube.com/watch?v=PgdSoSxAa4U,"The application uses artificial intelligence to create interactive stories that allow children to participate in shaping the plot, making it a personalized and immersive experience.",Flutter,Ailton da Strawti,Brazil,0
D&Gemini,https://www.youtube.com/watch?v=9DDC27s-CLQ,"The application aims to integrate artificial intelligence to enhance gameplay for Dungeons & Dragons (D&D) players, particularly for experienced and novice players, by providing supportive features that facilitate a more fluid and immersive experience.",,IFCode,Brazil,0
Devoxional,https://www.youtube.com/watch?v=y71qIk_zc-0,"The application provides a library of devotionals and studies tailored to individual needs, using advanced AI technology (Gemini) to propose topics and deliver in-depth content. It also offers a virtual assistant (Joshua) for further exploration and engagement with insights.",Android,Anderson Daniel,Brazil,1
eProf,https://www.youtube.com/watch?v=qMTWU76mJ60,"The application is designed for educators to improve their teaching practices, utilizing AI-powered tools such as a planner, chat feature, and assessment creator. It aims to enhance education quality by supporting teachers in their professional development.",,Yuri Derevtsoff & Rodrigo Derevtsoff,Brazil,0
estudAI,https://www.youtube.com/watch?v=9oPwUUp2B54,"The application uses artificial intelligence to provide personalized study suggestions, detailed guidance, and interactive practice exams, offering a comprehensive learning experience with access to external resources. It also offers features such as spell check, text summarization, translation, and feedback on essays.",Web/Chrome,Karina Barros,Brazil,0
FeirasFacil,https://www.youtube.com/watch?v=rDwJyAqHaUs,"The application is a classified marketplace where users can browse and interact with various products, including those at feiras (markets) and bancas (stands), allowing them to research and make purchases online or in-person.","Android, Firebase",FeirasFacil,Brazil,0
FinanMe,https://www.youtube.com/watch?v=I5WcGB8X8HM,"The application uses two models from the Gemini API to process financial transactions, categorizing them as expenses or income and generating detailed reports. It allows users to upload invoices, delete incorrect transactions, and view bank card details for specific expenses and income.","Android, Firebase",Dinho,Brazil,1
Fortuna,https://www.youtube.com/watch?v=GNhHZ9cd3yg,"The application helps users set, track, and achieve financial goals by providing a personalized experience using the Gemini API.",React Native and Typescript,BrainMakers,Brazil,1
franklin.ai,https://www.youtube.com/watch?v=m2p7NMerhiI,"The application accelerates innovation by providing AI-driven ideas to product teams, helping them overcome roadblocks and explore new possibilities quickly. It uses the Gemini API to analyze input parameters and generate creative solutions tailored to specific industries and challenges.",,Benvia,Brazil,1
Fácil Bula,https://www.youtube.com/watch?v=3B7ySubtHME,"The application provides personalized medical information through a chatbot, drug interaction checker, and contraindication warnings using advanced natural language processing and data analysis from the Gemini API.","Android, Firebase",Fácil Bula,Brazil,1
